2026-05-01から2026-05-31までの月次レポート
リスティングID,リスティングのタイトル,呼称,地域,通貨,予約数,予約数（前年比）,予約額,予約額（前年比）,予約獲得泊数,予約獲得泊数（前年比）,1日あたりの平均料金,1日あたりの平均料金（前年比）,平均滞在日数,平均滞在日数（前年比）,最初の閲覧から予約までにかかった平均時間,最初の閲覧から予約までにかかった平均時間（前年比）,連絡率を見る,閲覧後の連絡率（前年比）,連絡後の予約率,連絡後の予約率（前年比）
"46095229","富士山を望む貸切フロア/広々リビング・最大10名/月(E-2)","月(E-2)","Kawaguchi-ko","JPY","7","0%","773042.07","15.36%","18","12.5%","42946.78","16471.22%","2.86","17.65%","10.08","52.47%","3.56%","'-1.98%","81.82%","14.55%"
"44864174","勝浦しんがしんが 勝浦観光の拠点に Wi-Fi 3LDK一軒家広い庭","勝浦しんがしんが","Katsuura","JPY","4","0%","234880.65","3.28%","6","20%","39146.77","13809.15%","1.5","20%","7.25","'-9.38%","2.18%","106.33%","60%","'-28%"
"1391644761252717339","日本の","","","JPY","0","","0","","0","","","","0","","","","","","",""
"46094651","和モダンな貸切フロア/くつろぎの河口湖ステイ/夢(E-1) /駐車場有り/最大10名","夢(E-1)","Kawaguchi-ko","JPY","6","'-14.29%","473311.23","'-18.8%","12","'-33.33%","39442.6","19583.32%","2","'-30%","10.61","'-10.51%","2.81%","'-66.09%","86.67%","15.56%"
"34256012","102/上野15分/秋葉原16分/谷中・根津・千駄木・浅草など観光の拠点に/羽田・成田1時間圏内","IMB Machiya4-102","Tokyo","JPY","5","66.67%","315824.04","33.38%","31","10.71%","10187.87","19369.34%","6.4","'-45.14%","13.32","'-10.54%","8.06%","106.39%","68.89%","16.25%"
"48020055","河口湖/和室付き2DK/最大4名/Wifi/駐車場2台/A-1音1階","音(A-1)","Kawaguchi-ko","JPY","3","'-75%","174955.32","'-66.58%","8","'-71.43%","21869.42","18801.06%","2.67","14.29%","18.56","143.57%","1.93%","'-72.33%","100%","0%"
"38961246","301/上野15分/秋葉原16分/谷中･根津･千駄木すぐ!上野･浅草観光に最適/Free W-Fi","IMB machiya4-301","Tokyo","JPY","4","0%","231543.51","'-6.95%","22","'-12%","10524.7","16988.36%","5.5","'-15.38%","15.56","'-58.36%","5.39%","79.68%","47.83%","'-46.43%"
"38394693","河口湖/ 富士山ビュー/最大10名/100㎡一棟貸し切り/BBQ/駐車場2台/船津2","船津2 ","Kawaguchi-ko","JPY","6","'-50%","524825.63","'-30.82%","11","'-47.62%","47711.42","21244.68%","1.83","4.76%","1.36","'-78.1%","3.06%","'-55.74%","78.57%","'-17.86%"
"533040814175855455","お得な週割月割 東方旅泊URUMA/ジャグジー/4LDK/ビーチすぐ/フリーWi-Fi","うるま","Okinawa","JPY","0","","0","","0","","","","0","","","","","","",""
"37056421","河口湖/富士山ビュー/100㎡一棟貸し切り/最大8名/テラス有り/駐車場2台/船津1","船津1","Kawaguchi-ko","JPY","10","'-9.09%","854606.54","6.4%","19","'-20.83%","44979.29","21620.7%","1.9","'-16.4%","5.92","'-13.8%","9.09%","'-25.97%","73.08%","'-26.92%"
"28962536","週割/月割でお得にステイ！勝浦/部屋からの日の出 BBQ Wi-Fi完備 一軒家/宿泊処 波ノ音","勝浦波の音","Katsuura","JPY","5","'-16.67%","294382.4","19.05%","11","37.5%","26762.04","13891.68%","2.2","65%","7.84","14.73%","2.56%","89.49%","100%","25%"
"39736588","向島別邸・光4F /浅草・スカイツリー徒歩圏内/和モダン/2LDK/Wi-Fi/週割/月割","向島4F","Tokyo","JPY","3","'-40%","364758.35","'-16.68%","19","'-5%","19197.81","14073.37%","5.33","26.98%","18.78","132.4%","1.87%","'-34.4%","67.86%","42.5%"
"1701354406745361412","Royal Village KOURI｜インフィニットプール&オーシャンビュー｜一棟貸し｜本格BBQ","古宇利島","Okinawa","JPY","0","","0","","0","","","","0","","","","","","",""
"46054250","連泊割でお得にステイ/咲(C) /河口湖観光/一棟丸ごと貸切/無料Wi-Fi/3LDK+和室","咲(C)","Kawaguchi-ko","JPY","6","'-33.33%","497429.61","'-16.03%","11","'-31.25%","45220.87","19638.41%","2","12.5%","7.11","28.57%","3.29%","'-46.35%","100%","56.25%"
"38962503","302/1K/秋葉原16分/谷中･根津･千駄木すぐ!上野･浅草観光に最適/Free-wifi","IMB machiya4-302","Tokyo","JPY","1","'-75%","136639.62","'-50.7%","16","'-38.46%","8539.98","12845.7%","7","40%","227","925.99%","4.17%","1.1%","76.19%","'-20.82%"
"38959817","201/上野15分/秋葉原16分/谷中・根津・千駄木・浅草など観光の拠点に/羽田・成田1時間圏内","IMB machiya4-201","Tokyo","JPY","3","'-50%","290921.22","15.89%","27","17.39%","10774.86","15853.75%","9","134.78%","9.56","'-12.69%","5.77%","15.82%","100%","130.43%"
"1369405735568377841","宮古島 PORTO 空港から車で9分／3LDK／BBQ／プロジェクター／Free Wi-Fi","宮古島PORTO","Hirara","JPY","4","33.33%","575724.84","62.29%","19","46.15%","30301.31","17844.5%","4.75","29.55%","11.5","331.25%","2.45%","31.79%","95%","'-5%"
"46054881","富士山ビューの貸切一棟/空(D)/広々デッキ＆テラス付き・最大10名","空(D)","Kawaguchi-ko","JPY","11","57.14%","787596.47","46.76%","20","42.86%","39379.82","16502.03%","1.91","'-4.55%","7.98","'-30.64%","4.71%","'-6.89%","74.07%","15.74%"
"1615571215440333419","【清輝旅館 / 202】横浜の美食を歩き、静寂を意のままにする。日常の延長で過ごす、心地よい開放感","真金町202","Tokyo","JPY","1","","316166.87","","16","","19760.43","","10","","28","","4.23%","","87.5%",""
"711993272368842841","富士山を望む貸切一軒家/14名宿泊可・富士急まで好アクセス/河口湖ハイランド","河口湖ハイランド","Kawaguchi-ko","JPY","7","'-12.5%","534877.4","'-6.78%","12","0%","44573.12","14964.28%","1.71","14.29%","7.02","'-20.9%","5.39%","92.78%","87.5%","2.08%"
"1222279156604459903","お得な週割月割 石垣島CITY 市街地至近/テラスでBBQ/ワーケーション/2LDK＋","石垣島CITY","Ishigaki","JPY","3","0%","362713.61","'-4.37%","19","18.75%","19090.19","12913.92%","6.33","58.33%","18.33","54.21%","5.33%","11.23%","63.33%","'-36.67%"
"1318519898775539770","札幌FN505すすきの徒歩圏/2LDK/和モダン/Wi-Fi","札幌FN505","Sapporo","JPY","3","0%","476387.17","93.62%","25","177.78%","19055.49","11164.54%","8.33","212.5%","8.56","'-31.86%","14.68%","165.55%","90.62%","121.53%"
"1707816908430093979","RERE WAYS 瀬底島｜高級一棟貸し3LDK｜ジャグジー＆BBQ｜ジャングリア・美ら海水族館近く","","Okinawa","JPY","0","","0","","0","","","","0","","","","","","",""
"1054837555954911168","週月割でお得にステイ！ 新宿御苑　新宿至近　和モダン　大人数宿泊可能　高速Wi-Fi完備　畳部屋　","新宿御苑","Tokyo","JPY","4","'-33.33%","1219525.62","'-12.15%","20","0%","60976.28","14097.84%","4.5","0%","9.12","36.88%","4.11%","11.98%","71.43%","3.57%"
"25759905","連泊割・週割・月割でお得にステイ/九十九里/海まですぐ/無料Wi-Fi","九十九里","Narita","JPY","0","","0","","0","","","","0","","","","","","",""
"39735671","向島別邸・霽2F 浅草/スカイツリー徒歩圏内/和モダン/2LDK/Wi-Fi/週割/月割","向島2F","Tokyo","JPY","3","'-57.14%","363273.33","'-42.1%","18","'-37.93%","20181.85","14976.02%","5.33","20.43%","29.44","118.93%","3.54%","'-86.29%","100%","58.62%"
"1615603539864295394","【清輝旅館 / 302】横浜の美食を歩き、静寂を意のままにする。日常の延長で過ごす、心地よい開放感","真金町302","Tokyo","JPY","2","","278225.17","","24","","11592.72","","35.5","","12.5","","11.81%","","97.87%",""
"1270601487447971191","札幌FN905 すすきのエリア徒歩10分 2LDK  　和モダン　フリーWifi　","札幌FN905","Sapporo","JPY","3","'-25%","274414.02","2.37%","12","0%","22867.83","16443.7%","4","33.33%","33.33","1951.28%","10.39%","170.56%","75%","50%"
"31023028","連泊割でお得にステイ! 沖縄　プライベートなビーチ　4LDK/200㎡ 離島気分！BBQ OK","浜比嘉","Okinawa","JPY","8","'-11.11%","1038456.87","'-7.99%","18","'-14.29%","57692.05","17247.93%","2.25","'-3.57%","13.23","70.97%","2.33%","'-30.8%","71.43%","'-22.62%"
"1222926612931121329","川平湾一望　4LDK　オーシャンビュー　プライベートプール　本格BBQ&サウナ　徒歩3分のビーチ","川平","Ishigaki","JPY","10","150%","1283422.56","41.93%","20","33.33%","64171.13","17102.73%","2","'-42.86%","5.12","'-73.49%","1.93%","'-12%","71.43%","'-42.86%"
"1615592068793479799","【清輝旅館 / 301】横浜の美食を歩き、静寂を意のままにする。日常の延長で過ごす、心地よい開放感","真金町301","Tokyo","JPY","5","","396492.62","","13","","30499.43","","11.4","","7.8","","7.78%","","61.9%",""
"45999954","河口湖/富士山ビュー/最大5名/畳モダン/2LDK/駐車場付き/2階/星A-2","星(A-2)","Kawaguchi-ko","JPY","10","'-9.09%","526560.26","3.84%","22","'-8.33%","23934.56","18207.02%","2.2","'-6.92%","4.9","'-47.44%","5.54%","'-48.04%","78.57%","'-8.33%"
"39734961","向島別邸・月1F 浅草/スカイツリー徒歩圏内/和モダン 1K/Wi-Fi/週割/月割","向島1F","Tokyo","JPY","3","","202128.03","'-37.63%","18","'-40%","11229.34","16700.28%","4.67","","5.33","","2.95%","'-98.62%","75%","'-25%"
"1615625628581004414","【清輝旅館 / 303】横浜の美食を歩き、静寂を意のままにする。日常の延長で過ごす、心地よい開放感","真金町303","Tokyo","JPY","5","","224795.61","","15","","14986.37","","3","","0.8","","2.28%","","65.22%",""
"1411937796891751287","太宰府天満宮の参道 / 合格の宿 / 4LDK / 庭園で本格BBQ / Free Wi-Fi","太宰府","Fukuoka","JPY","9","800%","1041280.68","1987.97%","19","1800%","54804.25","17659.44%","2.11","5.56%","4.7","'-75.24%","3.01%","'-33.75%","79.17%","'-20.83%"
